,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,132.238,500.0,4.407933333333333,132.238,500.0,138,155,413,555,172,182,1.3239,6.707402985074622,119.4,231.2,48.55,,27,0,3
2,139.629,500.0,4.6543,271.86699999999996,1000.0,156,160,400,484,170,174,1.2495,6.86487164179104,118.6,243.5,48.59,,33,0,0
3,130.513,500.0,4.350433333333333,402.38,1500.0,165,171,424,508,174,184,1.3064,7.050977611940293,114.0,235.7,48.51,,32,6,5
4,138.808,500.0,4.626933333333333,541.188,2000.0,165,168,418,500,172,176,1.2512,5.057402985074622,114.1,245.0,48.97,,34,7,2
5,132.21,500.0,4.407,673.398,2500.0,168,171,445,540,174,178,1.3007,4.235720895522381,112.8,241.0,49.11,,33,9,1
6,139.806,500.0,4.660200000000001,813.2040000000001,3000.0,146,172,416,529,172,178,1.2314,3.6629671641791006,114.9,241.9,49.28,,31,6,0
7,132.296,500.0,4.409866666666667,945.5,3500.0,162,167,422,475,174,190,1.2969000000000002,3.997337313432834,113.0,237.2,49.13,,32,3,6
8,137.712,500.0,4.5904,1083.212,4000.0,162,166,393,488,172,176,1.2614,4.170526865671636,111.9,242.8,49.12,,33,3,7
9,131.447,500.0,4.381566666666667,1214.659,4500.0,162,167,406,440,176,180,1.2967,7.1465253731343275,111.0,239.3,48.5,,32,0,5
10,137.55,500.0,4.585,1352.209,5000.0,165,169,396,476,172,176,1.2626,5.221322388059697,112.3,246.0,49.01,,33,0,3
11,130.829,500.0,4.360966666666667,1483.038,5500.0,170,174,416,538,176,182,1.3037999999999998,4.128883582089553,111.3,240.7,49.06,,33,5,6
12,137.215,500.0,4.573833333333334,1620.253,6000.0,171,175,416,511,174,178,1.2685,5.386234328358204,110.7,244.5,48.91,,34,6,3
13,131.946,500.0,4.3982,1752.1989999999998,6500.0,174,177,458,567,176,182,1.2925,6.4924671641791,109.6,243.3,48.62,,34,11,0
14,142.705,500.0,4.756833333333334,1894.9039999999998,7000.0,165,174,408,488,174,212,1.2214,4.046884210526316,112.5,248.0,49.29,,35,4,1
15,124.927,500.0,4.164233333333334,2019.8309999999997,7500.0,172,174,416,485,178,182,1.3245,5.483220895522385,111.7,236.3,48.9,,32,0,6
16,129.586,508.58,4.246660636805747,2149.4169999999995,8008.58,171,173,412,527,174,180,1.3282,4.774411940298505,113.6,241.5,49.22,,33,0,5
