,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories
1,340.574,1000.0,5.676233333333333,340.574,1000.0,141,153,287,308,166,170,1.0577,,92.9,263.2,,,66
2,336.742,1000.0,5.612366666666667,677.316,2000.0,154,157,289,303,166,170,1.0688,,93.3,262.2,,,73
3,337.483,1000.0,5.624716666666667,1014.799,3000.0,154,160,288,317,166,170,1.0672000000000001,,93.3,262.5,,,72
4,335.333,1000.0,5.588883333333333,1350.132,4000.0,155,159,291,314,166,172,1.0715,,93.2,261.4,,,72
5,336.654,1000.0,5.6109,1686.786,5000.0,156,160,290,313,166,170,1.0720999999999998,,93.7,262.9,,,72
6,338.493,1000.0,5.64155,2025.279,6000.0,157,161,289,311,166,170,1.071,,94.1,264.3,,,73
7,335.815,1000.0,5.596916666666667,2361.094,7000.0,159,164,289,303,166,168,1.0797999999999999,,94.5,263.8,,,73
8,337.618,1000.0,5.626966666666666,2698.712,8000.0,159,163,289,306,166,172,1.0717,,93.9,263.6,,,73
9,345.241,1000.0,5.754016666666667,3043.953,9000.0,160,164,283,309,164,170,1.0768,,94.3,264.5,,,75
10,337.189,1000.0,5.619816666666667,3381.142,10000.0,162,165,290,314,166,174,1.074,,94.1,263.8,,,74
11,219.451,657.04,5.566657534802549,3600.593,10657.04,162,164,291,299,166,170,1.0824,,94.7,263.8,,,48
