,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,total_ascent,total_descent,avg_temperature,total_calories
1,360.057,1000.0,6.0009500000000005,360.057,1000.0,142,155,342,500,164,172,1.0091,7.141478062678059,118.9,255.1,48.61,12,0,,69
2,353.539,1000.0,5.892316666666667,713.596,2000.0,144,151,327,367,166,172,1.0152999999999999,7.857790395480221,118.2,250.3,48.46,2,12,,69
3,380.211,1000.0,6.33685,1093.807,3000.0,137,147,304,351,166,170,0.9559,7.644115254237285,114.4,258.2,48.52,2,8,,67
4,377.67,1000.0,6.2945,1471.477,4000.0,140,153,317,365,166,174,0.9675,7.198448022598871,115.0,259.7,48.65,5,9,,69
5,383.398,1000.0,6.389966666666667,1854.875,5000.0,141,151,307,366,164,168,0.9516,6.929916949152532,112.0,268.1,48.67,6,9,,68
6,413.22,1000.0,6.8870000000000005,2268.0950000000003,6000.0,142,151,306,396,162,168,0.896,7.454676271186433,109.3,275.5,48.59,17,3,,72
7,390.422,1000.0,6.507033333333334,2658.5170000000003,7000.0,140,148,301,364,166,170,0.9262,8.260892655367222,110.0,264.4,48.73,9,10,,67
8,393.251,1000.0,6.554183333333333,3051.768,8000.0,136,147,290,363,164,172,0.9256,5.6878033898305,109.4,266.5,48.88,2,11,,65
9,387.461,1000.0,6.457683333333334,3439.2290000000003,9000.0,133,152,300,397,164,168,0.9555,5.606151412429372,110.4,270.3,48.64,2,5,,68
10,393.073,1000.0,6.551216666666666,3832.302,10000.0,133,143,298,367,164,168,0.9344,8.119434463276828,107.9,270.0,48.63,7,8,,67
11,405.218,1000.0,6.753633333333334,4237.52,11000.0,138,147,304,380,162,168,0.9007999999999999,7.410384745762705,107.1,272.1,48.79,16,2,,69
12,365.266,1000.0,6.087766666666667,4602.786,12000.0,141,151,314,429,164,186,0.9937,6.185868926553668,113.3,260.7,48.94,5,8,,71
